AMAZON MAPREDUCE ANALYSIS — FULL RESULTS
Generated: 2026-04-08 17:45:22
═════════════════════════════════════════════════════════════════

═════════════════════════════════════════════════════════════════
  1 · CATEGORY-WISE AVERAGE RATINGS
═════════════════════════════════════════════════════════════════
  Category                                 Avg Rating  Bar
  Shoe, Jewelry Watch Accessories                3.38  ★★★
  Stuffed Plush Animals                          3.37  ★★★
  Hydraulics, Pneumatics Plumbing                3.37  ★★★
  Building Materials                             3.36  ★★★
  Women's Jewelry                                3.33  ★★★
  Lab Scientific Products                        3.31  ★★★
  Men's Jewelry                                  3.30  ★★★
  Beauty Tools Accessories                       3.30  ★★★
  Automotive Care                                3.29  ★★★
  Wellness                                       3.27  ★★★
  Makeup                                         3.23  ★★★
  Nail Polish Nail Decoration Products           3.22  ★★★
  Women's Accessories                            3.21  ★★★
  Test, Measure Inspect                          3.20  ★★★
  Martial Arts Combat Sports                     3.19  ★★★
  Luxury Beauty                                  3.17  ★★★
  Abrasive Finishing Products                    3.15  ★★★
  Sporting Apparel                               3.10  ★★★
  Bath Body                                      3.09  ★★★
  Baby                                           3.06  ★★★
  Boys                                           3.00  ★★★
  Bathroom Hardware                              2.92  ★★
  Networking Products                            2.90  ★★
  Outdoor Recreation Apparel Equipment           2.81  ★★
  Industrial Hardware                            2.80  ★★
  Power Transmission Products                    2.78  ★★
  Material Handling                              2.74  ★★
  Collectible Toys                               2.60  ★★
  Breakfast Cereal                               2.58  ★★
  Bikes, Scooters Ride-Ons                       2.57  ★★
  Filtration                                     2.47  ★★
  Furniture Hardware                             2.40  ★★
  Men's Watches                                  2.35  ★★
  Game Hardware                                  2.34  ★★
  Sex Sensuality Products                        2.28  ★★
  Satellite Television Equipment                 2.28  ★★
  Household Cleaning                             2.24  ★★
  Vision Care Products                           2.24  ★★
  Diet Nutrition Products                        2.23  ★★
  Women's Handbags                               2.15  ★★
  Computer Cable Adapters                        2.10  ★★
  Shaving Hair Removal Products                  2.09  ★★
  Irons, Steamers Accessories                    2.03  ★★
  Electronics Gadgets                            2.00  ★
  Perfume Cologne                                1.98  ★
  Flashlights                                    1.93  ★
  3D Printing Scanning                           1.92  ★
  Home Brewing Wine Making                       1.92  ★
  Desktop Computers                              1.92  ★
  Plants Seeds Bulbs                             1.88  ★
  Laptop Computers                               1.88  ★
  Air Freshener Supplies                         1.78  ★
  Uniforms, Work Safety                          1.76  ★
  Professional Medical Supplies                  1.64  ★
  Backyard Birding                               1.60  ★
  Tarps Tie-Downs                                1.59  ★
  Computer Audio Video Accessories               1.54  ★
  Oils Fluids                                    1.50  ★
  Memory Cards                                   1.49  ★
  Computer Hard Drive Accessories                1.47  ★
  Cigarette Lighters                             1.44  ★
  Women's Health Family Planning                 1.37  ★
  Swimming Pool Outdoor Water Toys               1.37  ★
  Kids' Slumber Bags                             1.34  ★
  Computer Monitor Accessories                   1.31  ★
  Household Batteries                            1.27  ★
  Laundry Supplies                               1.26  ★
  USB Gadgets                                    1.22  ★
  Computer Monitors                              1.21  ★
  Locks Hasps                                    1.12  ★
  Industrial Materials                           1.11  ★
  Outdoor Heating Cooling                        1.06  ★
  Women's Watches                                1.05  ★
  Water Coolers, Filters Cartridges              1.04  ★
  Blu-ray Players Recorders                      1.00  ★
  USB Hubs                                       0.98  
  Home Audio Speakers                            0.87  
  Toy Foam Blasters Guns                         0.85  
  Shelf Brackets Supports                        0.85  
  Science Education Supplies                     0.84  
  Computer Uninterrupted Power Supply            0.78  
  Pest Control                                   0.77  
  Dishwashing Supplies                           0.75  
  Memory Card Accessories                        0.74  
  Kids' Ball Pits Accessories                    0.73  
  Hardware Hooks                                 0.69  
  Pogo Sticks Hopping Toys                       0.66  
  Audio/Video Receivers Amplifiers               0.63  
  Window Hardware                                0.60  
  Job Site Lighting                              0.59  
  Gate Hardware                                  0.59  
  Handmade in Canada                             0.58  
  Toy Sports Equipment                           0.57  
  Handmade Toys Games                            0.55  
  Handmade Jewellery                             0.55  
  House Numbers, Plaques Signs                   0.55  
  Tattooing Supplies                             0.53  
  Handmade Beauty Grooming Products              0.52  
  Outdoor Storage Housing                        0.47  
  Baby Child Care Products                       0.46  
  Salon Spa Equipment                            0.45  
  Material Transport Equipment                   0.43  
  Awards                                         0.42  
  Bubble Blowing Products                        0.42  
  Kids' Play Tents Tunnels                       0.39  
  Handmade Stationery Party Supplies             0.38  
  Beanbag Foot Bags                              0.36  
  Indoor Insect Pest Control                     0.36  
  Home Theatre Systems                           0.35  
  Printers                                       0.34  
  Garage Door Hardware                           0.33  
  Weather Thermometers                           0.33  
  Mailboxes Accessories                          0.32  
  Computer Security Cables                       0.31  
  Handmade Baby Products                         0.30  
  Ladders                                        0.29  
  Digital Media Devices                          0.29  
  Child Safety Car Seats                         0.27  
  Handmade Clothing, Shoes Accessories           0.27  
  Television Projectors                          0.24  
  Handmade Artwork                               0.24  
  Toy Gardening Equipment                        0.24  
  Fresh Flowers Indoor Plants                    0.23  
  Kites Wind Spinners                            0.20  
  Sandboxes Beach Toys                           0.19  
  Scaffolding Equipment                          0.19  
  Play Sets Playground Equipment                 0.19  
  Handmade Home Décor                            0.18  
  Televisions                                    0.17  
  Baby Strollers                                 0.15  
  Handmade Kitchen Dining                        0.12  
  Handmade Furniture                             0.10  
  Children's Outdoor Inflatable Bouncers Bouncy Castles       0.08  
  DVD Players Recorders                          0.06  
  Handmade Bedding                               0.06  

═════════════════════════════════════════════════════════════════
  2 · PRICE DISTRIBUTION
═════════════════════════════════════════════════════════════════
  Segment        Count       %  Distribution
─────────────────────────────────────────────────────────────────
  <$10         302,595   14.0%  ######
  $10-25       693,939   32.0%  ################
  $25-50       560,302   25.9%  ############
  $50-100      287,399   13.3%  ######
  $100-250     181,481    8.4%  ####
  $250-500      65,957    3.0%  #
  $500+         74,253    3.4%  #

═════════════════════════════════════════════════════════════════
  3 · BESTSELLER TRENDS
═════════════════════════════════════════════════════════════════

  By Category:
  Category                                   Count
  ─────────────────────────────────────────────────────────────────
  Electronics                                  459
  Home Kitchen                                 426
  Sports Outdoors                              351
  Automotive Replacement Parts                 273
  Clothing, Shoes Jewellery                    260
  Beauty                                       258
  Patio, Lawn Garden                           239
  Pet Supplies                                 229
  Industrial Scientific                        227
  Baby                                         213
  Grocery                                      213
  Toys Games                                   176
  Tools Home Improvement                       167
  Musical Instruments, Stage Studio            160
  Office Products                              143
  Cycling Equipment                            132
  Automotive                                   125
  Women                                        122
  Golf Equipment                               118
  Motorcycle Accessories Parts                 101
  Home Storage Organization                     95
  Sewing, Craft Hobby                           94
  Hunting Fishing                               94
  Hand Tools                                    90
  Boating Watersports                           87
  Men                                           86
  Team Sports                                   86
  Hardware                                      82
  Automotive Tools Equipment                    77
  Snow Ice Sports                               75
  Exercise Fitness Equipment                    75
  Camera Photo                                  74
  Health Personal Care                          72
  Girls                                         70
  Health Care Products                          68
  Kitchen Utensils Gadgets                      67
  Luggage Travel Gear                           63
  Home Décor                                    63
  Outdoor Gear                                  61
  Occupational Health Safety Products           56
  Sports Fan Shop                               56
  Sport Specific Clothing                       52
  Bedding                                       49
  Nails, Screws Fasteners                       47
  Automotive Exterior Accessories               47
  Building Supplies                             44
  Boys                                          43
  Women's Shoes                                 42
  Arts Crafts Supplies                          36
  Men's Shoes                                   36
  Leisure Sports Game Room                      36
  Automotive Interior Accessories               35
  Televisions Video                             34
  Food Service Equipment Supplies               34
  Furniture                                     34
  Janitorial Sanitation Supplies                33
  RV Parts Accessories                          28
  Kitchen Dining                                28
  Martial Arts Combat Sports                    27
  Women's Clothing                              27
  Lab Scientific Products                       26
  Cutting Tools                                 25
  Computer Components                           24
  Tableware                                     24
  Shoe, Jewelry Watch Accessories               23
  Dog Supplies                                  23
  Novelty Special Use Clothing                  23
  Medical Supplies Equipment                    21
  Automotive Tires Wheels                       20
  Sex Sensuality Products                       20
  Men's Clothing                                20
  Action Sports                                 19
  Stationery Party Supplies                     19
  Baby Toddler Toys                             18
  Home Portable Audio                           18
  Bakeware                                      17
  Automotive Care                               15
  Household Cleaning Tools                      14
  Bath Products                                 14
  Test, Measure Inspect                         14
  Perfume Cologne                               13
  Uniforms, Work Safety                         13
  Home Textiles                                 13
  Handmade Jewellery                            12
  Material Handling                             12
  Power Tools Hand Tools                        12
  Electrical Equipment                          12
  Garden Structures Germination Equipment       12
  Vehicle Electronics                           12
  Swimming Pool Outdoor Water Toys              11
  Household Cleaning                            11
  Power Transmission Products                   11
  Bikes, Scooters Ride-Ons                      11
  Computer Monitor Accessories                  11
  Data Storage                                  10
  Outdoor Power Lawn Equipment                  10
  Men's Jewelry                                 10
  Farming Urban Agriculture                     10
  Women's Health Family Planning                10
  Dolls Accessories                              9
  Power Hand Tools                               9
  Men's Accessories                              9
  Household Supplies                             9
  Wellness                                       9
  Hobbies                                        9
  Laundry Supplies                               8
  Printer Accessories                            8
  Car Electronics Accessories                    8
  Oils Fluids                                    8
  Outdoor Lighting Products                      8
  Kitchen Cookware                               8
  Diet Nutrition Products                        8
  Outdoor Décor                                  7
  Vision Care Products                           7
  Outdoor Cooking                                7
  3D Printing Scanning                           6
  Toy Sports Equipment                           6
  Filtration                                     6
  Women's Jewelry                                6
  Patio Furniture Accessories                    6
  Hydraulics, Pneumatics Plumbing                6
  Fasteners                                      6
  Cat Supplies                                   6
  Kitchen Bath Fixtures                          6
  Material Transport Equipment                   5
  Building Construction Toys                     5
  Industrial Materials                           5
  Laptop Netbook Computer Accessories            5
  Industrial Hardware                            5
  Camping Hiking Equipment                       5
  Paint, Body Trim Products                      5
  Cables Accessories                             5
  Dishwashing Supplies                           4
  Fresh Flowers Indoor Plants                    4
  International Food Market                      4
  Handmade Kitchen Dining                        4
  Handmade Clothing, Shoes Accessories           4
  Paper Plastic Household Supplies               4
  Women's Accessories                            4
  Games Accessories                              4
  Artwork                                        4
  Flashlights                                    3
  Sandboxes Beach Toys                           3
  Handmade Home Décor                            3
  Water Coolers, Filters Cartridges              3
  Awards                                         3
  Women's Watches                                3
  Sporting Apparel                               3
  Action Figures, Maquettes Busts                3
  Handmade in Canada                             3
  Professional Medical Supplies                  3
  Hair Care                                      3
  Nursery Furniture, Bedding Décor               3
  Home Brewing Wine Making                       3
  Beauty Tools Accessories                       2
  Pools, Hot Tubs Supplies                       2
  Kites Wind Spinners                            2
  Men's Watches                                  2
  Handmade Artwork                               2
  Abrasive Finishing Products                    2
  Science Education Supplies                     2
  Kitchen Knives Cutlery Accessories             2
  Small Appliances                               2
  Vacuums Floor Care                             2
  Computer Accessories                           2
  Handmade Stationery Party Supplies             2
  Toy Vehicles                                   2
  Audio/Video Receivers Amplifiers               1
  Door Hardware Locks                            1
  Locks Hasps                                    1
  Makeup                                         1
  Game Hardware                                  1
  Baby Child Care Products                       1
  Hardware Adhesives Sealers                     1
  Shelf Brackets Supports                        1
  Outdoor Recreation Apparel Equipment           1
  Commerical Door Products                       1
  Handmade Beauty Grooming Products              1
  Networking Products                            1
  Child Safety Car Seats                         1
  Heating Cooling Air Quality                    1
  Outdoor Heating Cooling                        1
  Tablet Accessories                             1
  Backyard Birding                               1
  Tarps Tie-Downs                                1
  Plants Seeds Bulbs                             1
  Vitamins, Minerals Supplements                 1

  By Price Range:
  Segment        Count
  ─────────────────────────────────────────────────────────────────
  <$10             807
  $10-25         2,986
  $25-50         2,357
  $50-100          887
  $100-250         463
  $250-500         115
  $500+             39

═════════════════════════════════════════════════════════════════
  4 · DEMAND ANALYSIS  (boughtInLastMonth)
═════════════════════════════════════════════════════════════════
  Category                                   Units Bought
─────────────────────────────────────────────────────────────────
  Beauty                                        3,470,100
  Grocery                                       1,609,450
  Home Kitchen                                  1,251,950
  Pet Supplies                                  1,063,400
  Health Personal Care                            988,750
  Health Care Products                            711,300
  Toys Games                                      678,800
  Office Products                                 550,100
  Home Storage Organization                       510,900
  Baby                                            507,700
  Electronics                                     419,650
  Patio, Lawn Garden                              381,450
  Clothing, Shoes Jewellery                       347,900
  Sports Outdoors                                 329,950
  Tools Home Improvement                          286,750
  Kitchen Utensils Gadgets                        281,350
  Industrial Scientific                           277,650
  Household Cleaning                              244,500
  Bedding                                         219,450
  Arts Crafts Supplies                            193,600
  Laundry Supplies                                189,950
  Diet Nutrition Products                         179,850
  Sewing, Craft Hobby                             169,900
  Household Cleaning Tools                        168,050
  Luggage Travel Gear                             162,500
  Janitorial Sanitation Supplies                  159,100
  Household Supplies                              152,400
  Building Supplies                               151,700
  Home Décor                                      148,400
  Paper Plastic Household Supplies                144,300
  Women's Health Family Planning                  142,200
  Building Construction Toys                      137,600
  Dishwashing Supplies                            125,900
  Baby Toddler Toys                               123,050
  Cycling Equipment                               114,750
  Kitchen Dining                                  112,600
  Hardware                                        111,300
  Vitamins, Minerals Supplements                  100,150
  Televisions Video                                95,450
  Dolls Accessories                                95,250
  Occupational Health Safety Products              90,050
  Farming Urban Agriculture                        83,000
  Automotive Tools Equipment                       80,350
  Shoe, Jewelry Watch Accessories                  77,950
  Breakfast Cereal                                 76,200
  Women                                            73,950
  Exercise Fitness Equipment                       72,000
  Hand Tools                                       71,500
  Automotive Replacement Parts                     69,900
  Food Service Equipment Supplies                  62,000
  Musical Instruments, Stage Studio                57,550
  Automotive Interior Accessories                  56,800
  Wellness                                         56,500
  Furniture                                        54,850
  Bakeware                                         54,500
  Automotive Care                                  51,850
  Automotive                                       47,600
  Baby Child Care Products                         47,400
  Sex Sensuality Products                          46,900
  Bath Products                                    38,850
  Outdoor Gear                                     37,850
  Snow Ice Sports                                  37,200
  Flashlights                                      37,000
  Golf Equipment                                   37,000
  Perfume Cologne                                  35,900
  Tableware                                        35,350
  Dog Supplies                                     31,700
  Kitchen Cookware                                 31,400
  Vacuums Floor Care                               29,850
  Motorcycle Accessories Parts                     29,800
  Stationery Party Supplies                        29,700
  RV Parts Accessories                             28,450
  Vision Care Products                             27,600
  Men                                              25,050
  Water Coolers, Filters Cartridges                24,900
  Home Textiles                                    24,150
  Medical Supplies Equipment                       22,000
  Automotive Exterior Accessories                  20,100
  Small Appliances                                 19,800
  Automotive Tires Wheels                          19,300
  Outdoor Lighting Products                        18,850
  Hunting Fishing                                  18,000
  Girls                                            17,850
  Team Sports                                      17,750
  Power Tools Hand Tools                           17,000
  Women's Shoes                                    14,850
  Hair Care                                        14,500
  Cat Supplies                                     14,150
  Leisure Sports Game Room                         13,450
  Skin Care Products                               13,050
  Novelty Special Use Clothing                     12,350
  International Food Market                        12,100
  Sport Specific Clothing                          12,050
  Laptop Netbook Computer Accessories              11,450
  Boating Watersports                              11,400
  Nails, Screws Fasteners                          10,700
  Men's Jewelry                                    10,550
  Games Accessories                                10,450
  Large Appliances                                 10,200
  Irons, Steamers Accessories                       9,900
  3D Printing Scanning                              9,350
  Action Figures, Maquettes Busts                   9,100
  Toy Sports Equipment                              8,900
  Men's Shoes                                       8,350
  Men's Watches                                     8,300
  Electrical Equipment                              7,600
  Kitchen Bath Fixtures                             7,500
  Kitchen Storage Organization                      7,350
  Coffee, Tea Espresso                              7,250
  Pools, Hot Tubs Supplies                          6,950
  Men's Accessories                                 6,850
  Computer Components                               6,800
  Swimming Pool Outdoor Water Toys                  6,650
  Outdoor Cooking                                   6,450
  Oils Fluids                                       6,450
  Stuffed Plush Animals                             6,250
  Artwork                                           5,900
  Cutting Tools                                     5,800
  Beauty Tools Accessories                          5,700
  Power Hand Tools                                  5,600
  Camera Photo                                      5,450
  Bath Body                                         5,400
  Kitchen Knives Cutlery Accessories                5,250
  Computer Accessories                              5,250
  Makeup                                            4,850
  Home Portable Audio                               4,850
  Boys                                              4,600
  Oral Hygiene Products                             4,350
  Shaving Hair Removal Products                     4,150
  Printer Accessories                               3,950
  Martial Arts Combat Sports                        3,900
  Outdoor Play Toys                                 3,500
  Men's Clothing                                    3,400
  Sports Fan Shop                                   3,250
  Nail Polish Nail Decoration Products              3,000
  Women's Clothing                                  2,950
  Toy Vehicles                                      2,900
  Camping Hiking Equipment                          2,800
  Industrial Materials                              2,550
  Women's Watches                                   2,250
  Fresh Flowers Indoor Plants                       1,950
  Women's Accessories                               1,850
  Women's Jewelry                                   1,850
  Material Transport Equipment                      1,800
  Professional Medical Supplies                     1,800
  Home Brewing Wine Making                          1,800
  Test, Measure Inspect                             1,700
  Outdoor Décor                                     1,600
  Handmade Jewellery                                1,550
  Garden Structures Germination Equipment           1,550
  Outdoor Power Lawn Equipment                      1,500
  Bikes, Scooters Ride-Ons                          1,350
  Patio Furniture Accessories                       1,350
  Uniforms, Work Safety                             1,350
  Weather Thermometers                              1,300
  Material Handling                                 1,250
  Awards                                            1,150
  Vehicle Electronics                               1,100
  Lab Scientific Products                           1,000
  Collectible Toys                                    950
  Child Safety Car Seats                              950
  Hobbies                                             900
  Nursery Furniture, Bedding Décor                    850
  Handmade Home Décor                                 800
  Outdoor Recreation Apparel Equipment                750
  Filtration                                          750
  Paint, Body Trim Products                           750
  Action Sports                                       700
  Indoor Insect Pest Control                          650
  Cables Accessories                                  650
  Baby Strollers                                      600
  Heating Cooling Air Quality                         600
  Air Freshener Supplies                              550
  Handmade Beauty Grooming Products                   500
  Sporting Apparel                                    450
  Plants Seeds Bulbs                                  450
  Household Batteries                                 400
  Women's Handbags                                    350
  Hardware Adhesives Sealers                          350
  Abrasive Finishing Products                         350
  Barware                                             350
  Kids' Play Tents Tunnels                            300
  Sandboxes Beach Toys                                250
  Game Hardware                                       250
  Luxury Beauty                                       250
  Computer Monitor Accessories                        250
  Outdoor Heating Cooling                             250
  USB Gadgets                                         250
  TV Accessories                                      200
  Car Electronics Accessories                         200
  Networking Products                                 200
  Handmade in Canada                                  200
  Computer Audio Video Accessories                    200
  Hydraulics, Pneumatics Plumbing                     200
  Tarps Tie-Downs                                     200
  Computer Cable Adapters                             200
  Keyboards, Mice Input Devices                       200
  Audio/Video Receivers Amplifiers                    150
  Furniture Hardware                                  150
  Salon Spa Equipment                                 150
  Printers                                            150
  Handmade Kitchen Dining                             150
  Industrial Hardware                                 150
  Science Education Supplies                          150
  Pest Control                                        150
  Power Transmission Products                         100
  Handmade Stationery Party Supplies                  100
  Backyard Birding                                    100
  Pogo Sticks Hopping Toys                             50
  Data Storage                                         50
  Door Hardware Locks                                  50
  Kites Wind Spinners                                  50
  Bathroom Hardware                                    50
  Window Hardware                                      50
  Handmade Toys Games                                  50
  Handmade Clothing, Shoes Accessories                 50
  Cigarette Lighters                                   50
  Electronics Gadgets                                  50
  House Numbers, Plaques Signs                         50
  Toy Foam Blasters Guns                               50
  Digital Media Devices                                 0
  Play Sets Playground Equipment                        0
  Ladders                                               0
  Scaffolding Equipment                                 0
  Gate Hardware                                         0
  Mailboxes Accessories                                 0
  Locks Hasps                                           0
  Satellite Television Equipment                        0
  Televisions                                           0
  Tattooing Supplies                                    0
  Job Site Lighting                                     0
  Hardware Hooks                                        0
  Home Theatre Systems                                  0
  Outdoor Storage Housing                               0
  Kids' Slumber Bags                                    0
  Garage Door Hardware                                  0
  Shelf Brackets Supports                               0
  Blu-ray Players Recorders                             0
  DVD Players Recorders                                 0
  Commerical Door Products                              0
  Home Audio Speakers                                   0
  Handmade Baby Products                                0
  Handmade Artwork                                      0
  Handmade Bedding                                      0
  Computer Monitors                                     0
  Smart Home                                            0
  USB Hubs                                              0
  Fasteners                                             0
  Memory Cards                                          0
  Toy Gardening Equipment                               0
  Tablet Accessories                                    0
  Children's Outdoor Inflatable Bouncers Bouncy Castles              0
  Building Materials                                    0
  Cabinet Hardware                                      0
  Television Projectors                                 0
  Laptop Computers                                      0
  STEM                                                  0
  Desktop Computers                                     0
  Handmade Furniture                                    0
  Computer Security Cables                              0
  Computer Hard Drive Accessories                       0
  Computer Uninterrupted Power Supply                   0
  Memory Card Accessories                               0
  Kids' Ball Pits Accessories                           0
  Beanbag Foot Bags                                     0
  Bubble Blowing Products                               0

═════════════════════════════════════════════════════════════════
  5 · POPULARITY SCORE vs PRICE DIFF  (by category)
═════════════════════════════════════════════════════════════════
  Category                                   Avg Pop  Avg D.Price  # Products
─────────────────────────────────────────────────────────────────
  Electronics                              29365.445  $    -85.43      16,784
  Home Kitchen                             24721.366  $    -32.21       3,519
  Computer Accessories                     22320.311  $    -42.58       1,339
  Data Storage                             16265.101  $   -114.10       9,542
  Televisions Video                        13512.632  $   -102.54       8,696
  Cables Accessories                       13443.145  $    -25.73       4,752
  Kitchen Dining                           12460.114  $    -42.26       1,437
  Clothing, Shoes Jewellery                11962.407  $    -22.44       5,123
  Beauty                                   11706.788  $    -17.38      18,728
  Tools Home Improvement                   11462.787  $    -36.13       3,021
  Pet Supplies                             11074.307  $    -25.52       9,443
  Home Storage Organization                10457.523  $    -28.04       5,878
  Bedding                                  10172.345  $    -43.46       5,990
  Office Products                          10097.767  $    -20.27       7,325
  Home Portable Audio                       9954.946  $    -78.61       4,486
  Toys Games                                8909.379  $    -24.97       5,604
  Exercise Fitness Equipment                8848.246  $    -53.34       4,723
  Health Personal Care                      8695.916  $    -22.18       2,285
  Sports Outdoors                           8452.188  $    -14.45       6,716
  Industrial Scientific                     8279.345  $    -32.14       5,330
  Tablet Accessories                        7777.015  $    -29.07       7,564
  Household Supplies                        7635.047  $    -21.37       3,496
  Men                                       7412.036  $    -36.53      16,176
  Kitchen Utensils Gadgets                  7112.868  $    -20.30       6,308
  Laptop Netbook Computer Accessories       6867.251  $    -40.90       7,995
  Women                                     6362.442  $    -23.30      15,743
  Home Textiles                             6289.702  $    -31.17       2,946
  Dog Supplies                              6275.543  $    -29.47       4,981
  Keyboards, Mice Input Devices             6191.197  $    -37.80       8,189
  Small Appliances                          5979.413  $    -72.82       4,660
  Smart Home                                5935.160  $   -260.25         732
  Memory Cards                              5686.368  $    -70.76       9,230
  Computer Components                       5651.572  $   -101.35       9,529
  TV Accessories                            5604.242  $    -41.39       1,656
  Bath Products                             5522.922  $    -29.31       3,590
  Health Care Products                      5354.034  $    -22.88       7,293
